,model,Loss,Accuracy,Precision,Recall
0,tanh-2-100,0.1031676158308982,0.9710000157356262,0.9692999720573424,0.9737793803215028
1,tanh-3-100,0.1201798915863037,0.9666000008583068,0.9648000001907348,0.9705260992050172
2,tanh-2-150,0.0891000851988792,0.9757000207901,0.975000023841858,0.9775416254997252
3,tanh-3-150,0.1100176870822906,0.9710999727249146,0.9700999855995178,0.9731166362762452
4,sigmoid-2-100,0.0953520238399505,0.971400022506714,0.9675999879837036,0.9759935736656188
5,sigmoid-3-100,0.1890665590763092,0.94760000705719,0.942300021648407,0.955291986465454
6,sigmoid-2-150,0.0790166929364204,0.9768999814987184,0.9747999906539916,0.9797969460487366
7,sigmoid-3-150,0.1392976939678192,0.9613999724388124,0.9593999981880188,0.9660658836364746
8,relu-2-100,0.0976921916007995,0.9742000102996826,0.9725000262260436,0.9763075709342957
9,relu-3-100,0.114225685596466,0.968500018119812,0.9667999744415284,0.971267819404602
10,relu-2-150,0.0840772688388824,0.9783999919891356,0.9775999784469604,0.9791666865348816
11,relu-3-150,0.1178230866789817,0.9710000157356262,0.9699000120162964,0.972623348236084
12,"['tanh', 'sigmoid', 'relu']-3-150",0.1174743026494979,0.9710000157356262,0.9696000218391418,0.9724200367927552
13,"['relu', 'sigmoid', 'tanh']-3-150",0.1128000989556312,0.9721999764442444,0.9717000126838684,0.9739400744438172
14,"['sigmoid', 'tanh', 'relu']-3-150",0.1028590723872184,0.972100019454956,0.9703999757766724,0.9739060401916504
